,0,1
818,AP1S2,FTL
819,CST7,GZMK
820,HLA-DPA1,DUSP1
821,CD14,SAT1
822,C1QB,SLC7A7
823,H2AFY,CYBB
824,LYN,CST3
825,FCGR3A,MYOF
826,APLP2,MS4A7
827,VMO1,TMEM176B
828,HLA-DRA,CEBPD
829,RPL10A,RPLP1
830,IGSF6,LPCAT2
831,RPL10A,RPS4X
832,LILRA6,SPI1
833,WARS,MYOF
834,SAT1,GAPDH
835,LILRB4,CSF2RA
836,TNFSF13B,SECTM1
837,RPSA,RPS15
838,HLA-DPA1,ALDH2
839,PSAP,CPVL
840,RPS15A,RPL24
841,S100A9,FBP1
842,FAU,RPL23A
843,SLC8A1,SLC7A7
844,FCER1G,AP1S2
845,DUSP6,FCGR2A
846,HCK,SERPINA1
847,CD300C,SLC8A1
848,LGALS1,PGK1
849,ETS2,TGFBI
850,PLAUR,PLBD1
851,C5AR1,CTSL
852,PLAUR,VMO1
853,CST3,DAB2
854,RNF130,CYBB
855,FCGRT,CD302
856,RPL15,RPL11
857,SH3BGRL,CST3
858,EMILIN2,SPI1
859,HLA-DRA,HLA-DQB1
860,CD68,ARPC3
861,CTSL,NPC2
862,RPL10,RPS11
863,CCL5,F2R
864,RPL37A,RPL10
865,ANXA2,CTSS
866,RPL32,RPL28
867,C5AR1,LGALS3
868,RPL7A,RPL23A
869,CD68,CD36
870,IFI30,TNFSF13
871,RPSA,RPS12
872,HLA-DRB1,SLC7A7
873,LRP1,CTSS
874,HLA-DRA,DPYSL2
875,CTSS,ANXA2
876,IFNGR2,PILRA
877,RPS11,RPSA
878,CEBPB,SLC8A1
879,CD83,SOD2
880,PLXDC2,ZEB2
881,RPS10,RPS11
882,C1QA,CD68
883,ITGAX,CPVL
884,DUSP2,GZMK
885,TPM4,ANXA2
886,CLEC7A,HCK
887,IFITM3,HCK
888,RPL30,RPS9
889,PABPC1,RPS12
890,AIF1,LST1
891,CD68,KYNU
892,RPLP0,RPL15
893,RPS3A,RPS7
894,TNFAIP2,KLF4
895,HLA-DRA,HCK
896,SWAP70,SAT1
897,PLAUR,FCGR2A
898,LST1,CD63
899,CEBPD,CD14
900,RPL18,RPS21
901,RPL23A,RPL27
902,PSAP,CFD
903,ARHGEF10L,TMEM176A
904,RPL10A,RPL4
905,RPL22,RPS18
906,RPL11,RPL8
907,CTSS,TNFSF13B
908,SPOCK2,RPS25
909,TNFAIP2,SAT1
910,NACA,RPS14
911,IFITM3,S100A11
912,RPL7A,RPL18A
913,FCGR2A,ETS2
914,IFITM3,PILRA
915,RPS12,RPL12
916,CD63,LYZ
917,CD68,H2AFY
918,RPS19,RPL35A
919,RPS21,RPS11
920,CST3,SYK
921,TNFSF13,HLA-DRA
922,C19orf38,SLC8A1
923,S100A10,TIMP1
924,MAFB,DMXL2
925,CLEC7A,TLR2
926,ATP6V0B,SRGN
927,HLA-DRA,PILRA
928,GAPDH,ANXA2
929,SAT1,MNDA
930,SAT1,TMEM176A
931,DAPK1,PLXDC2
932,SCPEP1,AIF1
933,CXCL16,SIGLEC10
934,RPL36,RPS18
935,CST3,SLC43A2
936,RPS12,EEF1B2
937,HLA-DRA,TLR2
938,RPS6,UBA52
939,SLC15A3,RAB31
940,PILRA,MNDA
941,VCAN,SYK
942,TYROBP,CUX1
943,RPL27A,RPL10
944,FTH1,CYBA
945,CFD,CD302
946,RPS27,RPL18A
947,MS4A7,LGALS1
948,SPOCK2,RPLP2
949,MARCH1,LYZ
950,HSPA1A,AIF1
951,NCF2,PLEKHO1
952,HLA-DPA1,GSN
953,HNMT,APLP2
954,LPCAT2,SWAP70
955,LILRA5,SWAP70
956,S100A10,ALDOA
957,CD74,CSTA
958,LPCAT2,FCGR2A
959,MFSD1,FCGR3A
960,RPL37,RPS21
961,MARCH1,TMEM176A
962,DUSP6,TYROBP
963,LAIR1,TYROBP
964,RPL34,RPL3
965,CMTM6,CD63
966,GLUL,HLA-DRA
967,LMO2,DUSP6
968,CD63,FCGRT
969,SPI1,SERPINA1
