,0,1
746,HLA-DMA,CD22
747,UBE2C,TPX2
748,CLEC7A,NLRP3
749,TTK,TROAP
750,RPL34,RPL41
751,RPS8,RPL32
752,SH2D2A,HLA-B
753,ANLN,SAPCD2
754,RPL18A,RPLP2
755,PKM,CSTB
756,UBE2S,CENPF
757,BIRC5,H2AFZ
758,PRC1,KIF11
759,UBE2C,KIF2C
760,IL1B,LILRA2
761,C5AR1,LILRA2
762,PPIB,P4HB
763,HIST1H1B,NUSAP1
764,RAD54L,PCNA
765,CENPW,HMGB2
766,CDCA7,DUT
767,LILRA2,FCGRT
768,LDHA,PGK1
769,FCGR1A,VCAN
770,CCNF,PLK1
771,PKM,PRDX1
772,FLT3,BASP1
773,CSF3R,SLC7A7
774,RPL39,RPS11
775,RAB31,CLEC7A
776,C5AR1,MPEG1
777,RPS4X,RPL14
778,EVI2A,SRGN
779,PRC1,KIF23
780,S100A1,MITF
781,RPSA,RPL22
782,RPL29,RPS13
783,LITAF,CCL5
784,PKMYT1,CDCA4
785,SMC4,PBK
786,RPS20,RPS25
787,ARHGDIB,LCP1
788,RPS28,RPL28
789,HLA-DOB,IRF8
790,RPL29,RPL6
791,C19orf38,TLR2
792,TUBB4B,TK1
793,VPREB3,HLA-DOA
794,DHFR,CENPW
795,PRC1,CDC25C
796,IFI30,HLA-DQB1
797,TNFRSF17,MZB1
798,NUF2,KIF18A
799,NUF2,ECT2
800,GNLY,NKG7
801,CD247,TIGIT
802,SYNGR2,CIITA
803,TUBA1B,DEPDC1B
804,KLRF1,FGR
805,KIF20A,CKAP2L
806,FOS,CDKN1A
807,CBLB,LYST
808,RPL24,RPS13
809,LY86,BCL11A
810,IL7R,RPL34
811,TMSB4X,CCL5
812,NUSAP1,NEIL3
813,HMGB2,CENPA
814,KIF2C,NEIL3
815,FCRL2,RALGPS2
816,ATP6V0B,TKT
817,RPL17,RPSA
818,LGALS9,IFI44L
819,RPS9,RPL37
820,KIF2C,CLSPN
821,CR2,CD72
822,RPLP2,RPS25
823,POC1A,MND1
824,S100A9,C19orf38
825,RPL10A,RPS23
826,CD3D,KIAA1551
827,HDLBP,FTL
828,CYBB,MS4A7
829,FKBP1A,SLC25A5
830,DNAJB1,HSPA8
831,RAD54L,E2F8
832,PKMYT1,BUB1
833,GZMA,IKZF3
834,MCM2,MCM10
835,HLA-C,CD7
836,HNRNPA1,RPSA
837,SPC25,FAM111B
838,TUBA1B,CDCA8
839,S100A8,SLC7A7
840,CKAP2L,NUSAP1
841,CD3G,SIT1
842,SPIB,TBC1D9
843,RPL37,RPS20
844,CYBB,HLA-DRA
845,CDCA5,ASF1B
846,KIFC1,MKI67
847,PKMYT1,HMMR
848,NCAPG,KIF15
849,DUSP2,ID2
850,FANCI,CENPW
851,RPL35A,RPS28
852,BUB1B,MKI67
853,TYMS,ZWINT
854,FCRL5,FCRLA
855,RPL9,TPT1
856,PPA1,IMPDH2
857,GBP5,PTPRCAP
858,ASPM,HMGB1
859,CD247,GIMAP4
860,MEF2C,HLA-DPB1
861,CDCA2,STMN1
862,MS4A6A,CD14
863,RPL29,RPS11
864,RPLP0,RPL10A
865,MKI67,FAM111B
866,CCNF,CENPF
867,SLC7A7,LILRB3
868,KLRF1,KLRD1
869,CCNB1,ARHGAP11A
870,GNG5,ANXA5
871,VPREB3,PDLIM1
872,IRF8,BTK
873,RPS3A,RPS27
874,FCN1,IRAK3
875,HLA-C,GZMA
876,TIMP2,LRP1
877,RPL3,RPL13
878,RPL24,RPS11
879,ESPL1,TOP2A
880,LILRB4,FTL
881,CCNE2,CDCA5
882,BTG1,TNFAIP3
883,FOS,PER1
884,E2F8,KIF11
885,E2F8,GINS2
886,RPS21,RPL8
887,RPS20,RPS18
888,POU2AF1,FCRL5
889,POLQ,MND1
890,E2F8,KIF23
891,IGSF6,LILRB3
892,TROAP,KIF18A
893,CD74,FGD2
894,SIRPA,DMXL2
895,LY6E,IFITM3
896,PARPBP,BIRC5
897,HLA-DRA,HLA-DQB2
898,HSP90AA1,HSPA8
899,RPL6,RPL31
900,SLC7A7,ALDH2
901,MS4A1,POU2AF1
902,KIFC1,HIST1H1B
903,MCM2,TOP2A
904,SNRNP25,STMN1
905,CDK1,CDC6
906,GZMH,GZMB
907,RPL18,RPL11
908,MPEG1,CLEC12A
909,BUB1B,HIST1H1B
910,HLA-DMB,SYK
911,RPLP0,RPS21
912,CDC6,MKI67
913,RPLP2,RPS18
914,KIR3DL1,KIR2DL3
915,CEP55,POLQ
916,AURKB,TUBA1B
917,MKI67,PLK1
918,FEN1,CDC6
919,LTB,RPL10A
920,HLA-C,APOBEC3C
921,NUF2,KPNA2
922,SERPINA1,SORT1
923,CDCA8,KIF22
924,FAM111B,POLQ
925,HLA-DMA,WDFY4
926,PDGFRB,IGFBP7
927,LYZ,HLA-DRA
928,ANLN,CEP55
929,HLA-DPA1,BCL11A
930,PLXDC2,CLEC10A
931,MCM4,TPX2
932,PHF19,DEPDC1
933,ARHGDIB,HLA-A
934,IGSF6,ALDH2
935,ALDH1A1,CYP27A1
936,CDCA5,LRR1
937,IL32,THEMIS
938,ETS2,IFI30
939,GAPDH,ARPC1B
940,RPL19,CD37
941,RPL4,EEF2
942,RPL39,RPL8
943,HLA-DRB1,TCL1A
944,VCAN,PILRA
945,CTSW,MATK
946,OAS1,IFI44
947,RPL13,RPL34
948,CDK1,RRM2
949,RPL31,RPS5
950,RPL41,RPS6
951,ARHGDIB,ITGB2
952,RPL22,RPL19
953,AIF1,C1QB
954,TPX2,SPC24
955,GAPDH,UQCRH
956,TYMS,SMC2
957,FAU,RPS28
958,CENPE,GTSE1
959,FEN1,RRM2
960,CTSH,NCF2
961,NKG7,TBX21
962,CLEC4A,PLAUR
963,LCP1,IL2RB
964,LY86,RAB31
965,ENO1,GSTO1
966,APOBEC3B,TOP2A
967,SYTL3,CCL5
968,RPLP0,NACA
969,DDOST,PPIB
970,RAD51,SHCBP1
971,CDC45,LIG1
972,RPL12,RPSA
973,TIGIT,GALM
974,TGFBI,CSTA
975,CD72,CD19
976,ALDOA,ANXA5
977,TLR10,CD74
978,LMNB1,NUF2
979,WIPF1,PRKCH
980,CD7,CBLB
981,RAD54L,CENPM
982,TTK,CCNB2
983,WDHD1,PCNA
984,EVL,TBC1D10C
985,IGFBP7,PDGFRB
986,FGD2,SPIB
987,RPLP0,RPL18A
988,FOXM1,KIF23
989,TOP2A,GGH
990,RNF144B,PILRA
991,LGALS1,GNG5
992,RPS15A,RPL38
993,SPC24,PRC1
994,RPL6,RPS16
995,MKI67,CENPF
996,EEF1A1,RPS9
997,CHAF1A,CLSPN
998,RPS5,RPS23
999,TK1,HMGB3
1000,TNFRSF9,ENTPD1
1001,SERPING1,SERPINF1
1002,KLF4,EGR1
1003,LMNB1,SPC24
1004,MAD2L1,CDK1
1005,RPL8,RPL29
1006,HSPA1A,ATF3
1007,PPIB,PDIA3
1008,TPX2,RAD54L
1009,FOXP3,IL2RA
1010,GZMA,FASLG
1011,FCN1,SLC43A2
1012,FCRLA,EAF2
1013,LILRA5,LST1
1014,RPS12,RPS9
1015,SMC2,SHCBP1
1016,P2RX5,CD79A
1017,PRAM1,TLR2
1018,MPEG1,CSF3R
1019,TUBA1B,DTL
1020,KIF20A,CDKN3
1021,KIFC1,KIF22
1022,RPL28,RPS3
1023,ENO1,PKM
1024,TMEM106C,TUBB
1025,C1orf54,VMO1
1026,HMGB2,CENPM
1027,IL2RB,LCP1
1028,RPL19,RPS14
1029,TPT1,RPL15
1030,CR2,PAX5
1031,PCNA,GINS2
1032,RPS25,RPL36
1033,RPL29,RPL8
1034,CD3E,CXCR6
1035,CD163,MAFB
1036,SRGN,APOBEC3G
1037,TROAP,KPNA2
1038,TYROBP,TFEC
1039,UBE2T,GTSE1
1040,HLA-DQB1,HLA-DOA
1041,LILRB4,LILRB3
1042,NCAPG,CCNB1
1043,RPS8,RPLP0
1044,HLA-A,PSME2
1045,CST3,ALDH1A1
1046,RPL24,RPL8
1047,RPS29,RPL23A
1048,SHCBP1,CDC45
1049,RPL15,RPL41
1050,UBA52,RPL11
1051,CLEC10A,CYBB
1052,TTK,KIF14
1053,TUBB4B,ASF1B
1054,CD8A,PTPRC
1055,RPL5,RPL35
1056,HIST1H1B,UBE2T
1057,ZWINT,TCF19
