,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
WMC219260_GSM3496398_AB3938_Tu,0,5366.0,1521,16,16,Fibroblasts,0.5163241565316956,113,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC809260_GSM3496486_AB5492_PB,0,2463.0,696,3,3,CD4Tconv,1.0945560605446019,201,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
W683809_GSM3496305_AB2491_Tumo,0,1447.0,607,0,0,CD8Tex,3.0066744286892493,20,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC624586_GSM3496459_AB5011_Tu,0,2437.0,911,1,1,CD8Tex,4.089338694095589,174,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC220154_GSM3496400_AB3940_Tu,0,1380.0,523,3,3,CD4Tconv,1.0945560605446019,115,1,20,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC0038076_GSM3496378_AB3094_T,0,1835.0,767,9,9,TMKI67,2.1419943291597425,93,1,29,TMKI67,TMKI67,TMKI67,0
WMC294903_GSM3496435_AB4143_Tu,0,1309.0,518,0,0,CD8Tex,3.0066744286892493,150,1,17,CD8Tex,CD8Tex,CD8Tex,0
WMC287469_GSM3496416_AB4124_Tu,0,2113.0,827,1,1,CD8Tex,4.089338694095589,131,1,25,CD8Tex,CD8Tex,CD8Tex,0
W687432_GSM3496315_AB2501_Tumo,0,1838.0,759,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
WMC0110307_GSM3496389_AB3282_T,0,3238.0,727,2,2,B,4.4137903050582095,104,1,13,B,B,B,0
WMC0037063_GSM3496376_AB3092_T,0,9085.0,1216,12,12,Plasma,2.8827375079550275,91,1,29,Plasma,Plasma,Plasma,0
W691892_GSM3496326_AB2512_Tumo,0,1871.0,844,1,1,CD8Tex,4.089338694095589,41,1,24,CD8Tex,CD8Tex,CD8Tex,0
W689896_GSM3496321_AB2507_Tumo,0,7089.0,1894,10,10,TMKI67,3.9990709402858386,36,1,24,TMKI67,TMKI67,TMKI67,0
WMC0035824_GSM3496372_AB3088_T,0,1195.0,609,0,0,CD8Tex,3.0066744286892493,87,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC328992_GSM3496439_AB4232_Tu,0,2528.0,1130,5,5,Mono/Macro,3.5403363819401705,154,1,26,Mono/Macro,Mono/Macro,M1,0
WMC149318_GSM3496396_AB3755_Tu,0,5278.0,1596,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
W692595_GSM3496328_AB2514_Tumo,0,1228.0,537,6,6,CD8Tex,3.0350785138802134,43,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC149156_GSM3496396_AB3755_Tu,0,12988.0,3318,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
W543034_GSM3496293_AB2097_Tumo,0,1534.0,781,4,4,Mono/Macro,5.045165456293893,8,1,14,Mono/Macro,Mono/Macro,Monocyte,0
WMC0037206_GSM3496376_AB3092_T,0,3616.0,1365,7,7,Mono/Macro,4.5137206227938425,91,1,29,Mono/Macro,Mono/Macro,Monocyte,0
W688220_GSM3496317_AB2503_Tumo,0,3323.0,1262,9,9,TMKI67,2.1419943291597425,32,1,6,TMKI67,TMKI67,TMKI67,0
W703046_GSM3496336_AB2541_Tumo,0,1670.0,699,0,0,CD8Tex,3.0066744286892493,51,1,4,CD8Tex,CD8Tex,CD8Tex,0
WMC286475_GSM3496413_AB4121_Tu,0,1273.0,654,0,0,CD8Tex,3.0066744286892493,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
W685829_GSM3496310_AB2496_Tumo,0,3022.0,804,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
WMC0035502_GSM3496372_AB3088_T,0,1568.0,635,0,0,CD8Tex,3.0066744286892493,87,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0038698_GSM3496380_AB3096_T,0,1547.0,674,0,0,CD8Tex,3.0066744286892493,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC293300_GSM3496431_AB4139_Tu,0,6693.0,858,12,12,Plasma,2.8827375079550275,146,1,17,Plasma,Plasma,Plasma,0
W706080_GSM3496339_AB2549_Tumo,0,1763.0,652,2,2,B,4.4137903050582095,54,1,6,B,B,B,0
W694818_GSM3496334_AB2520_Tumo,0,1315.0,609,1,1,CD8Tex,4.089338694095589,49,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0108692_GSM3496385_AB3278_T,0,2208.0,725,9,9,TMKI67,2.1419943291597425,100,1,13,TMKI67,TMKI67,TMKI67,0
WMC0109564_GSM3496388_AB3281_T,0,1853.0,718,6,6,CD8Tex,3.0350785138802134,103,1,13,CD8Tex,CD8Tex,CD8Tex,0
WMC329468_GSM3496440_AB4233_Tu,0,3214.0,1294,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC624488_GSM3496458_AB5010_Tu,0,1583.0,562,9,9,TMKI67,2.1419943291597425,173,1,22,TMKI67,TMKI67,TMKI67,0
WMC219422_GSM3496398_AB3938_Tu,0,7457.0,1784,16,16,Fibroblasts,0.5163241565316956,113,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC331599_GSM3496446_AB4239_Tu,0,4319.0,1547,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
WMC625886_GSM3496462_AB5014_Tu,0,1333.0,544,9,9,TMKI67,2.1419943291597425,177,1,22,TMKI67,TMKI67,TMKI67,0
W546863_GSM3496303_AB2107_Tumo,0,3321.0,1205,13,13,B,1.9443252866230427,18,1,2,B,pDC,pDC,0
WMC0034700_GSM3496370_AB3086_T,0,1276.0,586,8,8,CD8Tex,2.3728707457939557,85,1,29,CD8Tex,CD8Tex,CD8Tex,0
W546478_GSM3496302_AB2106_Tumo,0,1903.0,718,4,4,Mono/Macro,5.045165456293893,17,1,2,Mono/Macro,Mono/Macro,Monocyte,0
WMC0032240_GSM3496369_AB3079_T,0,1396.0,617,0,0,CD8Tex,3.0066744286892493,84,1,29,CD8Tex,CD8Tex,CD8Tex,0
W838339_GSM3496347_AB2902_Tumo,0,1802.0,596,3,3,CD4Tconv,1.0945560605446019,62,1,11,CD4Tconv,CD4Tconv,CD4Tnaive,0
