,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W543806_GSM3496295_AB2099_Tumo,0,3787.0,1551,11,11,pDC,2.9395231999772227,10,1,2,pDC,DC,DC,0
WMC693590_GSM3496468_AB5190_Tu,0,3710.0,945,14,14,CD8T,1.0823108009977958,183,1,23,CD8T,CD8Tex,CD8Tex,0
WMC625920_GSM3496462_AB5014_Tu,0,1928.0,706,4,4,Mono/Macro,5.045165456293893,177,1,22,Mono/Macro,Mono/Macro,Monocyte,0
W691293_GSM3496325_AB2511_Tumo,0,1728.0,700,1,1,CD8Tex,4.089338694095589,40,1,24,CD8Tex,CD8Tex,CD8Tex,0
W687213_GSM3496314_AB2500_Tumo,0,1083.0,536,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
W685157_GSM3496309_AB2495_Tumo,0,3231.0,1159,2,2,B,4.4137903050582095,24,1,6,B,B,B,0
WMC0038880_GSM3496380_AB3096_T,0,1006.0,524,3,3,CD4Tconv,1.0945560605446019,95,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
W705967_GSM3496339_AB2549_Tumo,0,3119.0,958,2,2,B,4.4137903050582095,54,1,6,B,B,B,0
WMC286675_GSM3496414_AB4122_Tu,0,1846.0,739,0,0,CD8Tex,3.0066744286892493,129,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC293862_GSM3496432_AB4140_Tu,0,4294.0,1264,5,5,Mono/Macro,3.5403363819401705,147,1,17,Mono/Macro,Mono/Macro,M1,0
WMC289537_GSM3496421_AB4129_Tu,0,2101.0,811,1,1,CD8Tex,4.089338694095589,136,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC221760_GSM3496405_AB3945_Tu,0,10796.0,2240,21,21,TMKI67,2.3644963168592144,120,1,1,TMKI67,Mono/Macro,M1,0
W692534_GSM3496328_AB2514_Tumo,0,2078.0,676,3,3,CD4Tconv,1.0945560605446019,43,1,24,CD4Tconv,CD4Tconv,CD4Tnaive,0
W693509_GSM3496330_AB2516_Tumo,0,1497.0,618,6,6,CD8Tex,3.0350785138802134,45,1,24,CD8Tex,CD8Tex,CD8Tex,0
W714248_GSM3496341_AB2570_Tumo,0,3206.0,1018,4,4,Mono/Macro,5.045165456293893,56,1,4,Mono/Macro,Mono/Macro,Monocyte,0
WMC0108038_GSM3496384_AB3277_T,0,3433.0,924,10,10,TMKI67,3.9990709402858386,99,1,13,TMKI67,TMKI67,TMKI67,0
W691807_GSM3496326_AB2512_Tumo,0,2172.0,913,1,1,CD8Tex,4.089338694095589,41,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC135319_GSM3496392_AB3718_Tu,0,4656.0,1376,4,4,Mono/Macro,5.045165456293893,107,1,15,Mono/Macro,Mono/Macro,Monocyte,0
WMC627071_GSM3496465_AB5017_Tu,0,2545.0,813,2,2,B,4.4137903050582095,180,1,22,B,B,B,0
WMC625802_GSM3496462_AB5014_Tu,0,1915.0,566,9,9,TMKI67,2.1419943291597425,177,1,22,TMKI67,TMKI67,TMKI67,0
WMC0107713_GSM3496383_AB3276_T,0,1945.0,635,2,2,B,4.4137903050582095,98,1,0,B,B,B,0
WMC785128_GSM3496483_AB5429_PB,0,1913.0,545,3,3,CD4Tconv,1.0945560605446019,198,0,9,CD4Tconv,CD4Tconv,CD4Tnaive,0
W693769_GSM3496331_AB2517_Tumo,0,3781.0,1239,4,4,Mono/Macro,5.045165456293893,46,1,24,Mono/Macro,Mono/Macro,Monocyte,0
W687065_GSM3496314_AB2500_Tumo,0,1693.0,651,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
W705871_GSM3496339_AB2549_Tumo,0,2101.0,724,2,2,B,4.4137903050582095,54,1,6,B,B,B,0
W543901_GSM3496295_AB2099_Tumo,0,1946.0,1011,1,1,CD8Tex,4.089338694095589,10,1,2,CD8Tex,CD8Tex,CD8Tex,0
WMC290714_GSM3496424_AB4132_Tu,0,2591.0,968,2,2,B,4.4137903050582095,139,1,25,B,B,B,0
WMC291625_GSM3496427_AB4135_Tu,0,2876.0,1182,10,10,TMKI67,3.9990709402858386,142,1,17,TMKI67,TMKI67,TMKI67,0
W464496_GSM3496288_AB1892_Tumo,0,4639.0,1624,11,11,pDC,2.9395231999772227,3,1,14,pDC,DC,DC,0
WMC0110076_GSM3496389_AB3282_T,0,1400.0,518,1,1,CD8Tex,4.089338694095589,104,1,13,CD8Tex,CD8Tex,CD8Tex,0
WMC0035246_GSM3496371_AB3087_T,0,4062.0,1562,0,0,CD8Tex,3.0066744286892493,86,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0035379_GSM3496371_AB3087_T,0,1139.0,539,0,0,CD8Tex,3.0066744286892493,86,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0034890_GSM3496370_AB3086_T,0,1610.0,714,0,0,CD8Tex,3.0066744286892493,85,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC808897_GSM3496485_AB5491_PB,0,2162.0,673,4,4,Mono/Macro,5.045165456293893,200,0,21,Mono/Macro,Mono/Macro,Monocyte,0
W688919_GSM3496319_AB2505_Tumo,0,2583.0,1157,6,6,CD8Tex,3.0350785138802134,34,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC135219_GSM3496392_AB3718_Tu,0,2732.0,891,3,3,CD4Tconv,1.0945560605446019,107,1,15,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC810065_GSM3496488_AB5494_PB,0,3322.0,684,3,3,CD4Tconv,1.0945560605446019,203,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
W691404_GSM3496325_AB2511_Tumo,0,1185.0,511,1,1,CD8Tex,4.089338694095589,40,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0035045_GSM3496370_AB3086_T,0,1979.0,673,0,0,CD8Tex,3.0066744286892493,85,1,29,CD8Tex,CD8Tex,CD8Tex,0
W843517_GSM3496360_AB2915_Tumo,0,1120.0,552,8,8,CD8Tex,2.3728707457939557,75,1,12,CD8Tex,CD8Tex,CD8Tex,0
W842531_GSM3496358_AB2913_Tumo,0,2622.0,827,7,7,Mono/Macro,4.5137206227938425,73,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC289999_GSM3496422_AB4130_Tu,0,1700.0,566,0,0,CD8Tex,3.0066744286892493,137,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC379934_GSM3496452_AB4364_PB,0,3769.0,1050,4,4,Mono/Macro,5.045165456293893,167,0,5,Mono/Macro,Mono/Macro,Monocyte,0
W462157_GSM3496285_AB1889_Tumo,0,1236.0,669,1,1,CD8Tex,4.089338694095589,0,1,14,CD8Tex,CD8Tex,CD8Tex,0
W543868_GSM3496295_AB2099_Tumo,0,3606.0,1432,11,11,pDC,2.9395231999772227,10,1,2,pDC,DC,DC,0
W692402_GSM3496328_AB2514_Tumo,0,1727.0,681,1,1,CD8Tex,4.089338694095589,43,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC624769_GSM3496459_AB5011_Tu,0,3093.0,1219,10,10,TMKI67,3.9990709402858386,174,1,22,TMKI67,TMKI67,TMKI67,0
WMC293252_GSM3496431_AB4139_Tu,0,2433.0,988,2,2,B,4.4137903050582095,146,1,17,B,B,B,0
W686814_GSM3496313_AB2499_Tumo,0,1753.0,723,9,9,TMKI67,2.1419943291597425,28,1,6,TMKI67,TMKI67,TMKI67,0
WMC287037_GSM3496415_AB4123_Tu,0,2857.0,995,0,0,CD8Tex,3.0066744286892493,130,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC696596_GSM3496476_AB5198_Tu,0,1503.0,503,1,1,CD8Tex,4.089338694095589,191,1,23,CD8Tex,CD8Tex,CD8Tex,0
WMC250360_GSM3496407_AB4027_Tu,0,1310.0,506,0,0,CD8Tex,3.0066744286892493,122,1,18,CD8Tex,CD8Tex,CD8Tex,0
W871839_GSM3496366_AB2989_Tumo,0,7274.0,2279,18,18,Mono/Macro,1.7507389384025052,81,1,12,Mono/Macro,Mono/Macro,Monocyte,0
WMC0038148_GSM3496379_AB3095_T,0,1994.0,869,8,8,CD8Tex,2.3728707457939557,94,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC287234_GSM3496415_AB4123_Tu,0,2002.0,732,9,9,TMKI67,2.1419943291597425,130,1,25,TMKI67,TMKI67,TMKI67,0
W462249_GSM3496285_AB1889_Tumo,0,1658.0,794,0,0,CD8Tex,3.0066744286892493,0,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC220571_GSM3496401_AB3941_Tu,0,1500.0,595,0,0,CD8Tex,3.0066744286892493,116,1,20,CD8Tex,CD8Tex,CD8Tex,0
W541795_GSM3496289_AB2093_Tumo,0,3705.0,1384,4,4,Mono/Macro,5.045165456293893,4,1,14,Mono/Macro,Mono/Macro,Monocyte,0
W703204_GSM3496337_AB2542_Tumo,0,1527.0,657,0,0,CD8Tex,3.0066744286892493,52,1,4,CD8Tex,CD8Tex,CD8Tex,0
W714046_GSM3496341_AB2570_Tumo,0,1956.0,855,5,5,Mono/Macro,3.5403363819401705,56,1,4,Mono/Macro,Mono/Macro,M1,0
WMC294636_GSM3496434_AB4142_Tu,0,5162.0,887,12,12,Plasma,2.8827375079550275,149,1,17,Plasma,Plasma,Plasma,0
W693039_GSM3496329_AB2515_Tumo,0,1156.0,513,1,1,CD8Tex,4.089338694095589,44,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC294358_GSM3496434_AB4142_Tu,0,1772.0,878,5,5,Mono/Macro,3.5403363819401705,149,1,17,Mono/Macro,Mono/Macro,M1,0
WMC286550_GSM3496413_AB4121_Tu,0,1877.0,814,1,1,CD8Tex,4.089338694095589,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC327938_GSM3496436_AB4229_Tu,0,1439.0,592,0,0,CD8Tex,3.0066744286892493,151,1,26,CD8Tex,CD8Tex,CD8Tex,0
WMC149359_GSM3496396_AB3755_Tu,0,6967.0,2009,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC137984_GSM3496394_AB3725_Tu,0,7547.0,1800,18,18,Mono/Macro,1.7507389384025052,109,1,16,Mono/Macro,Mono/Macro,Monocyte,0
WMC808546_GSM3496484_AB5490_PB,0,2826.0,755,3,3,CD4Tconv,1.0945560605446019,199,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC294881_GSM3496435_AB4143_Tu,0,1206.0,539,8,8,CD8Tex,2.3728707457939557,150,1,17,CD8Tex,CD8Tex,CD8Tex,0
W842082_GSM3496356_AB2911_Tumo,0,2661.0,869,7,7,Mono/Macro,4.5137206227938425,71,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W543593_GSM3496294_AB2098_Tumo,0,1427.0,832,1,1,CD8Tex,4.089338694095589,9,1,2,CD8Tex,CD8Tex,CD8Tex,0
WMC293380_GSM3496431_AB4139_Tu,0,2501.0,544,12,12,Plasma,2.8827375079550275,146,1,17,Plasma,Plasma,Plasma,0
WMC286593_GSM3496413_AB4121_Tu,0,2848.0,984,0,0,CD8Tex,3.0066744286892493,128,1,25,CD8Tex,CD8Tex,CD8Tex,0
W683993_GSM3496306_AB2492_Tumo,0,1520.0,501,3,3,CD4Tconv,1.0945560605446019,21,1,6,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC291517_GSM3496426_AB4134_Tu,0,1533.0,683,0,0,CD8Tex,3.0066744286892493,141,1,17,CD8Tex,CD8Tex,CD8Tex,0
WMC251668_GSM3496410_AB4030_Tu,0,2366.0,997,13,13,B,1.9443252866230427,125,1,18,B,pDC,pDC,0
W703213_GSM3496337_AB2542_Tumo,0,1917.0,818,10,10,TMKI67,3.9990709402858386,52,1,4,TMKI67,TMKI67,TMKI67,0
WMC250848_GSM3496408_AB4028_Tu,0,24057.0,4006,19,19,Fibroblasts,0.7993594823534205,123,1,18,Fibroblasts,Fibroblasts,Fibroblasts,1
W545547_GSM3496299_AB2103_Tumo,0,3115.0,1215,13,13,B,1.9443252866230427,14,1,2,B,pDC,pDC,0
WMC623432_GSM3496456_AB5008_Tu,0,8931.0,2557,10,10,TMKI67,3.9990709402858386,171,1,22,TMKI67,TMKI67,TMKI67,0
W839840_GSM3496351_AB2906_Tumo,0,14951.0,3268,10,10,TMKI67,3.9990709402858386,66,1,28,TMKI67,TMKI67,TMKI67,0
WMC0109602_GSM3496388_AB3281_T,0,1292.0,504,1,1,CD8Tex,4.089338694095589,103,1,13,CD8Tex,CD8Tex,CD8Tex,0
WMC625815_GSM3496462_AB5014_Tu,0,1457.0,626,1,1,CD8Tex,4.089338694095589,177,1,22,CD8Tex,CD8Tex,CD8Tex,0
W689516_GSM3496320_AB2506_Tumo,0,1484.0,571,0,0,CD8Tex,3.0066744286892493,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
W844703_GSM3496363_AB2918_Tumo,0,2082.0,655,0,0,CD8Tex,3.0066744286892493,78,1,12,CD8Tex,CD8Tex,CD8Tex,0
WMC0107796_GSM3496383_AB3276_T,0,1614.0,562,1,1,CD8Tex,4.089338694095589,98,1,0,CD8Tex,CD8Tex,CD8Tex,0
W693963_GSM3496332_AB2518_Tumo,0,1840.0,692,6,6,CD8Tex,3.0350785138802134,47,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0038564_GSM3496380_AB3096_T,0,2174.0,900,3,3,CD4Tconv,1.0945560605446019,95,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
W707511_GSM3496340_AB2553_Tumo,0,4667.0,1421,4,4,Mono/Macro,5.045165456293893,55,1,4,Mono/Macro,Mono/Macro,Monocyte,0
W544865_GSM3496297_AB2101_Tumo,0,1458.0,677,0,0,CD8Tex,3.0066744286892493,12,1,2,CD8Tex,CD8Tex,CD8Tex,0
WMC331592_GSM3496446_AB4239_Tu,0,4654.0,1690,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
W842779_GSM3496358_AB2913_Tumo,0,1373.0,514,7,7,Mono/Macro,4.5137206227938425,73,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC0035240_GSM3496371_AB3087_T,0,1878.0,739,0,0,CD8Tex,3.0066744286892493,86,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC251716_GSM3496411_AB4031_Tu,0,1346.0,514,0,0,CD8Tex,3.0066744286892493,126,1,18,CD8Tex,CD8Tex,CD8Tex,0
WMC0035935_GSM3496373_AB3089_T,0,2477.0,1115,0,0,CD8Tex,3.0066744286892493,88,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC785301_GSM3496483_AB5429_PB,0,2244.0,648,2,2,B,4.4137903050582095,198,0,9,B,B,B,0
W707397_GSM3496340_AB2553_Tumo,0,7866.0,2100,11,11,pDC,2.9395231999772227,55,1,4,pDC,DC,DC,0
W683615_GSM3496305_AB2491_Tumo,0,1472.0,606,0,0,CD8Tex,3.0066744286892493,20,1,6,CD8Tex,CD8Tex,CD8Tex,0
W840685_GSM3496353_AB2908_Tumo,0,1609.0,584,7,7,Mono/Macro,4.5137206227938425,68,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W690197_GSM3496322_AB2508_Tumo,0,1369.0,511,1,1,CD8Tex,4.089338694095589,37,1,24,CD8Tex,CD8Tex,CD8Tex,0
W707714_GSM3496340_AB2553_Tumo,0,4059.0,1567,5,5,Mono/Macro,3.5403363819401705,55,1,4,Mono/Macro,Mono/Macro,M1,0
WMC287038_GSM3496415_AB4123_Tu,0,3433.0,1179,6,6,CD8Tex,3.0350785138802134,130,1,25,CD8Tex,CD8Tex,CD8Tex,0
W689151_GSM3496319_AB2505_Tumo,0,1325.0,638,0,0,CD8Tex,3.0066744286892493,34,1,24,CD8Tex,CD8Tex,CD8Tex,0
W872107_GSM3496367_AB2990_Tumo,0,3441.0,709,18,18,Mono/Macro,1.7507389384025052,82,1,12,Mono/Macro,Mono/Macro,Monocyte,0
WMC808905_GSM3496485_AB5491_PB,0,3601.0,1080,4,4,Mono/Macro,5.045165456293893,200,0,21,Mono/Macro,Mono/Macro,Monocyte,0
WMC330809_GSM3496444_AB4237_Tu,0,2068.0,654,8,8,CD8Tex,2.3728707457939557,159,1,26,CD8Tex,CD8Tex,CD8Tex,0
WMC137951_GSM3496394_AB3725_Tu,0,7712.0,1798,18,18,Mono/Macro,1.7507389384025052,109,1,16,Mono/Macro,Mono/Macro,Monocyte,0
W683688_GSM3496305_AB2491_Tumo,0,1102.0,523,10,10,TMKI67,3.9990709402858386,20,1,6,TMKI67,TMKI67,TMKI67,0
W703607_GSM3496338_AB2543_Tumo,0,1244.0,522,0,0,CD8Tex,3.0066744286892493,53,1,3,CD8Tex,CD8Tex,CD8Tex,0
W842213_GSM3496357_AB2912_Tumo,0,1987.0,836,0,0,CD8Tex,3.0066744286892493,72,1,28,CD8Tex,CD8Tex,CD8Tex,0
W839985_GSM3496351_AB2906_Tumo,0,1911.0,735,8,8,CD8Tex,2.3728707457939557,66,1,28,CD8Tex,CD8Tex,CD8Tex,0
WMC0038480_GSM3496379_AB3095_T,0,2097.0,954,0,0,CD8Tex,3.0066744286892493,94,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0110178_GSM3496389_AB3282_T,0,1289.0,560,9,9,TMKI67,2.1419943291597425,104,1,13,TMKI67,TMKI67,TMKI67,0
WMC331333_GSM3496445_AB4238_Tu,0,1921.0,889,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
WMC222295_GSM3496406_AB3946_Tu,0,1599.0,623,4,4,Mono/Macro,5.045165456293893,121,1,1,Mono/Macro,Mono/Macro,Monocyte,0
W688761_GSM3496318_AB2504_Tumo,0,1841.0,773,6,6,CD8Tex,3.0350785138802134,33,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0034986_GSM3496370_AB3086_T,0,1337.0,570,0,0,CD8Tex,3.0066744286892493,85,1,29,CD8Tex,CD8Tex,CD8Tex,0
W689199_GSM3496319_AB2505_Tumo,0,1338.0,601,6,6,CD8Tex,3.0350785138802134,34,1,24,CD8Tex,CD8Tex,CD8Tex,0
W691464_GSM3496325_AB2511_Tumo,0,1493.0,626,1,1,CD8Tex,4.089338694095589,40,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0032127_GSM3496369_AB3079_T,0,1457.0,726,3,3,CD4Tconv,1.0945560605446019,84,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC250165_GSM3496407_AB4027_Tu,0,1909.0,575,3,3,CD4Tconv,1.0945560605446019,122,1,18,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC330752_GSM3496443_AB4236_Tu,0,1315.0,563,14,14,CD8T,1.0823108009977958,158,1,26,CD8T,CD8Tex,CD8Tex,0
W543556_GSM3496294_AB2098_Tumo,0,3149.0,1290,19,19,Fibroblasts,0.7993594823534205,9,1,2,Fibroblasts,Fibroblasts,Fibroblasts,1
W844897_GSM3496364_AB2919_Tumo,0,1259.0,543,0,0,CD8Tex,3.0066744286892493,79,1,12,CD8Tex,CD8Tex,CD8Tex,0
WMC0036211_GSM3496374_AB3090_T,0,11275.0,1733,12,12,Plasma,2.8827375079550275,89,1,29,Plasma,Plasma,Plasma,0
WMC0038072_GSM3496378_AB3094_T,0,3436.0,1362,0,0,CD8Tex,3.0066744286892493,93,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC293173_GSM3496431_AB4139_Tu,0,4962.0,1739,11,11,pDC,2.9395231999772227,146,1,17,pDC,DC,DC,0
W843890_GSM3496361_AB2916_Tumo,0,1677.0,680,1,1,CD8Tex,4.089338694095589,76,1,12,CD8Tex,CD8Tex,CD8Tex,0
W689512_GSM3496320_AB2506_Tumo,0,1250.0,537,0,0,CD8Tex,3.0066744286892493,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
W685413_GSM3496309_AB2495_Tumo,0,16089.0,2359,12,12,Plasma,2.8827375079550275,24,1,6,Plasma,Plasma,Plasma,0
WMC287267_GSM3496415_AB4123_Tu,0,1977.0,724,0,0,CD8Tex,3.0066744286892493,130,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC329249_GSM3496440_AB4233_Tu,0,2917.0,1097,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC252058_GSM3496411_AB4031_Tu,0,1153.0,536,0,0,CD8Tex,3.0066744286892493,126,1,18,CD8Tex,CD8Tex,CD8Tex,0
W689898_GSM3496321_AB2507_Tumo,0,2036.0,835,6,6,CD8Tex,3.0350785138802134,36,1,24,CD8Tex,CD8Tex,CD8Tex,0
W695159_GSM3496335_AB2521_Tumo,0,2062.0,752,4,4,Mono/Macro,5.045165456293893,50,1,24,Mono/Macro,Mono/Macro,Monocyte,0
W840873_GSM3496353_AB2908_Tumo,0,3640.0,1278,7,7,Mono/Macro,4.5137206227938425,68,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W691132_GSM3496324_AB2510_Tumo,0,1748.0,749,1,1,CD8Tex,4.089338694095589,39,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC220191_GSM3496400_AB3940_Tu,0,10124.0,2166,10,10,TMKI67,3.9990709402858386,115,1,20,TMKI67,TMKI67,TMKI67,0
WMC135222_GSM3496392_AB3718_Tu,0,1186.0,532,1,1,CD8Tex,4.089338694095589,107,1,15,CD8Tex,CD8Tex,CD8Tex,0
W463875_GSM3496287_AB1891_Tumo,0,3322.0,1289,4,4,Mono/Macro,5.045165456293893,2,1,14,Mono/Macro,Mono/Macro,Monocyte,0
WMC0038103_GSM3496378_AB3094_T,0,4939.0,1712,3,3,CD4Tconv,1.0945560605446019,93,1,29,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC331384_GSM3496445_AB4238_Tu,0,2551.0,1012,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
WMC329701_GSM3496441_AB4234_Tu,0,2845.0,1166,5,5,Mono/Macro,3.5403363819401705,156,1,26,Mono/Macro,Mono/Macro,M1,0
W841454_GSM3496355_AB2910_Tumo,0,1262.0,521,7,7,Mono/Macro,4.5137206227938425,70,1,28,Mono/Macro,Mono/Macro,Monocyte,0
WMC783945_GSM3496480_AB5426_PB,0,1815.0,571,14,14,CD8T,1.0823108009977958,195,0,9,CD8T,CD8Tex,CD8Tex,0
WMC784270_GSM3496480_AB5426_PB,0,1938.0,553,3,3,CD4Tconv,1.0945560605446019,195,0,9,CD4Tconv,CD4Tconv,CD4Tnaive,0
W687151_GSM3496314_AB2500_Tumo,0,3411.0,916,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
WMC0110726_GSM3496391_AB3284_T,0,9766.0,2242,5,5,Mono/Macro,3.5403363819401705,106,1,13,Mono/Macro,Mono/Macro,M1,0
WMC287146_GSM3496415_AB4123_Tu,0,6727.0,1898,9,9,TMKI67,2.1419943291597425,130,1,25,TMKI67,TMKI67,TMKI67,0
WMC626247_GSM3496463_AB5015_Tu,0,1453.0,620,1,1,CD8Tex,4.089338694095589,178,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC0035857_GSM3496373_AB3089_T,0,1837.0,833,0,0,CD8Tex,3.0066744286892493,88,1,29,CD8Tex,CD8Tex,CD8Tex,0
W689365_GSM3496320_AB2506_Tumo,0,2370.0,900,1,1,CD8Tex,4.089338694095589,35,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC624738_GSM3496459_AB5011_Tu,0,2548.0,1013,10,10,TMKI67,3.9990709402858386,174,1,22,TMKI67,TMKI67,TMKI67,0
WMC287165_GSM3496415_AB4123_Tu,0,2478.0,740,1,1,CD8Tex,4.089338694095589,130,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC293572_GSM3496432_AB4140_Tu,0,9103.0,965,12,12,Plasma,2.8827375079550275,147,1,17,Plasma,Plasma,Plasma,0
WMC329559_GSM3496440_AB4233_Tu,0,3045.0,1194,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC293304_GSM3496431_AB4139_Tu,0,8016.0,951,12,12,Plasma,2.8827375079550275,146,1,17,Plasma,Plasma,Plasma,0
W851377_GSM3496365_AB2936_Tumo,0,3089.0,972,11,11,pDC,2.9395231999772227,80,1,12,pDC,DC,DC,0
W544372_GSM3496296_AB2100_Tumo,0,1380.0,662,0,0,CD8Tex,3.0066744286892493,11,1,2,CD8Tex,CD8Tex,CD8Tex,0
W686211_GSM3496311_AB2497_Tumo,0,2402.0,1143,1,1,CD8Tex,4.089338694095589,26,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC0035634_GSM3496372_AB3088_T,0,2279.0,933,0,0,CD8Tex,3.0066744286892493,87,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC288656_GSM3496419_AB4127_Tu,0,8946.0,981,12,12,Plasma,2.8827375079550275,134,1,25,Plasma,Plasma,Plasma,0
W703036_GSM3496336_AB2541_Tumo,0,4232.0,1545,9,9,TMKI67,2.1419943291597425,51,1,4,TMKI67,TMKI67,TMKI67,0
W841107_GSM3496354_AB2909_Tumo,0,1315.0,565,7,7,Mono/Macro,4.5137206227938425,69,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W686279_GSM3496312_AB2498_Tumo,0,1208.0,553,0,0,CD8Tex,3.0066744286892493,27,1,6,CD8Tex,CD8Tex,CD8Tex,0
W693301_GSM3496330_AB2516_Tumo,0,1336.0,581,1,1,CD8Tex,4.089338694095589,45,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC379912_GSM3496452_AB4364_PB,0,1903.0,702,0,0,CD8Tex,3.0066744286892493,167,0,5,CD8Tex,CD8Tex,CD8Tex,0
W687079_GSM3496314_AB2500_Tumo,0,2790.0,739,2,2,B,4.4137903050582095,29,1,6,B,B,B,0
W690828_GSM3496323_AB2509_Tumo,0,16976.0,1482,12,12,Plasma,2.8827375079550275,38,1,24,Plasma,Plasma,Plasma,0
WMC0037962_GSM3496378_AB3094_T,0,1644.0,838,6,6,CD8Tex,3.0350785138802134,93,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC287770_GSM3496416_AB4124_Tu,0,1309.0,623,8,8,CD8Tex,2.3728707457939557,131,1,25,CD8Tex,CD8Tex,CD8Tex,0
W837953_GSM3496346_AB2901_Tumo,0,1957.0,657,1,1,CD8Tex,4.089338694095589,61,1,10,CD8Tex,CD8Tex,CD8Tex,0
WMC328617_GSM3496438_AB4231_Tu,0,1616.0,603,0,0,CD8Tex,3.0066744286892493,153,1,26,CD8Tex,CD8Tex,CD8Tex,0
W691413_GSM3496325_AB2511_Tumo,0,1832.0,734,2,2,B,4.4137903050582095,40,1,24,B,B,B,0
WMC290720_GSM3496424_AB4132_Tu,0,3296.0,1215,7,7,Mono/Macro,4.5137206227938425,139,1,25,Mono/Macro,Mono/Macro,Monocyte,0
W713935_GSM3496341_AB2570_Tumo,0,4347.0,1387,5,5,Mono/Macro,3.5403363819401705,56,1,4,Mono/Macro,Mono/Macro,M1,0
WMC625517_GSM3496461_AB5013_Tu,0,3319.0,1172,4,4,Mono/Macro,5.045165456293893,176,1,22,Mono/Macro,Mono/Macro,Monocyte,0
W687713_GSM3496315_AB2501_Tumo,0,2317.0,841,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
WMC0038583_GSM3496380_AB3096_T,0,4421.0,1441,0,0,CD8Tex,3.0066744286892493,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
W840794_GSM3496353_AB2908_Tumo,0,5821.0,892,12,12,Plasma,2.8827375079550275,68,1,28,Plasma,Plasma,Plasma,0
